Demo Cubes
======================================================
Counter	PosX	PosY	PosZ	Grabbed	Obj	FsX	FsY	FsZ	Matched	FvX	FvY	FvZ	q1	q2	q3	q4	GraspSx	GraspDx	TotTime	Scale	H	V	D	GravComp	BodyMass	Viscosity		Index	Timer	DeltaTimer
======================================================

 26.0000	  0.4922	  0.2579	  0.0961	  1.0000	  9.0000	 -0.8832	  8.1190	  6.7034	  0.0000	  0.0162	  0.0610	 -0.1883	 -0.9300	  0.1666	  0.0436	 -1.2294	  3.5474	  3.6157	  0.0180	  3.0000	  0.0000	 -0.4000	  0.5000	 70.0000	  0.0000	  0.0000		       1	  18.980	   0.000
 45.0000	  0.4929	  0.2576	  0.0959	  1.0000	  9.0000	 -0.8152	  7.9480	  6.6078	  0.0000	  0.1870	  0.0933	 -0.2160	 -0.9300	  0.1664	  0.0443	 -1.2287	  3.5303	  3.6084	  0.0390	  3.0000	  0.0000	 -0.4000	  0.5000	 70.0000	  0.0000	  0.0000		       2	  37.528	  18.548
 64.0000	  0.4937	  0.2573	  0.0956	  1.0000	  9.0000	 -0.6226	  7.7797	  6.5836	  0.0000	  0.3573	  0.1290	 -0.2267	 -0.9300	  0.1661	  0.0453	 -1.2279	  3.5156	  3.6060	  0.0610	  3.0000	  0.0000	 -0.4000	  0.5000	 70.0000	  0.0000	  0.0000		       3	  57.090	  19.562
 84.0000	  0.4946	  0.2570	  0.0953	  1.0000	  9.0000	 -0.3733	  7.6643	  6.6036	  0.0000	  0.4768	  0.1696	 -0.2397	 -0.9300	  0.1658	  0.0462	 -1.2269	  3.4814	  3.5986	  0.0820	  3.0000	  0.0000	 -0.4000	  0.5000	 70.0000	  0.0000	  0.0000		       4	  76.581	  19.491
104.0000	  0.4953	  0.2566	  0.0950	  1.0000	  9.0000	 -0.1421	  7.7940	  6.6574	  0.0000	  0.5248	  0.2147	 -0.2679	 -0.9300	  0.1655	  0.0471	 -1.2261	  3.4521	  3.6108	  0.0930	  3.0000	  0.0000	 -0.4000	  0.5000	 70.0000	  0.0000	  0.0000		       5	  96.133	  19.551
123.0000	  0.4959	  0.2561	  0.0946	  1.0000	  9.0000	  0.0009	  8.1492	  6.7375	  0.0000	  0.5290	  0.2614	 -0.3119	 -0.9300	  0.1650	  0.0479	 -1.2252	  3.4570	  3.6108	  0.1140	  3.0000	  0.0000	 -0.4000	  0.5000	 70.0000	  0.0000	  0.0000		       6	 115.657	  19.525
144.0000	  0.4965	  0.2557	  0.0942	  1.0000	  9.0000	  0.0355	  8.6047	  6.8332	  0.0000	  0.5175	  0.2986	 -0.3567	 -0.9300	  0.1645	  0.0487	 -1.2244	  3.4448	  3.6035	  0.1360	  3.0000	  0.0000	 -0.4000	  0.5000	 70.0000	  0.0000	  0.0000		       7	 136.159	  20.502
163.0000	  0.4968	  0.2553	  0.0939	  1.0000	  9.0000	 -0.0316	  9.0426	  6.9260	  0.0000	  0.5011	  0.3172	 -0.3868	 -0.9300	  0.1642	  0.0493	 -1.2238	  3.4375	  3.6035	  0.1570	  3.0000	  0.0000	 -0.4000	  0.5000	 70.0000	  0.0000	  0.0000		       8	 155.689	  19.531
